"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Kavaronge","Not Available","Congo (Zaire)",-4.0333,21.75,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Sn","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; Lat/Long for the middle of Zaire","de Kun, 1987","wht_blank"
"Ke Sung","Thua Thien-Hu","Vietnam",16.5,107.5833,"No","Inferred resources",5,9999,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Possible--603 t Monazite + Xentime","Ilmenite, Zircon","Not Available","Not Available","Placer, Shoreline","Beach and dune sand","Not Available","Occurrence; Coastal placer. Part of Thuan An group of deposits.","O'Driscoll, 1996; ESCAP, 1990","wht_blank"
"Kelani River","Not Available","Sri Lanka",7,79.8333,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence","ESCAP, 1989","wht_blank"
"Kembajan","Kalimantan (West)","Indonesia",0.55,110.41667,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence","Skillen, 1996a","wht_blank"
"Kembajan Mountains","Kalimantan","Indonesia",0.55,110.41667,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence; In West Kalimantan. Lat/Long for Kembajan, Indonesia.","ESCAP and ABMRGG, 1988","wht_blank"
"Kerr-McGee","Tennessee","United States of America",36.11667,-88.18333,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Rutile, Zircon","Quartz","Late Cretaceous","Placer, Shoreline","Sand of the Mcnairy formation","Not Available","Occurrence; Marine placer.","Towner, 1992; Towner and others, 1988","wht_blank"
"Keshya","Not Available","Zambia",-15.8833,28.45,"No","Inferred resources",5,9999,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Not Available","Magnetite, Pyrite, Apatite, Rutile, Th, Mn, Pb","Not Available","Not Available","Carbonatite","Carbonatite (limestone)","Not Available","Occurrence; This unit has been mapped as a limestone, but chemistry is consistent with late-stage carbonatite.","Woolley, 2001","wht_blank"
"Khaldzan-Buregtey","Not Available","Mongolia",48.416667,91.9667,"Yes","Indicated resources",4,7,1,"Fergusonite, Allanite, Bastnasite, Synchysite, Britholite, Monazite, Chevkinite","Y, Dy, La, Ce, Eu, Gd, Er, Tm, Lu, Nd, Pr, Sm, Tb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Nuclear industry","No",">1.2 Mt REE @ 0.3% REE, >0.4 Mt Nb @ 0.1% Nb, >8 Mt Zr @ 2.0% Zr","Elpidite, Gittinsite, Zircon, Pyrochlore, Polylithionite, Ta, Hf, Th, Fluorite","Microcline, Quartz, Albite, Arfvedsonite, Aegirine","Devonian-- 380-390 Ma","Alkalic Igneous","Peralkaline granite, Gabbro, Basalt, Pantellerite dikes, Syenite","Not Available","Occurrence; In western Mongolia. Discovered in 1984. Host rocks have been metasomatized.","Kovalenko and Yarmolyuk, 1995; Kovalenko and others, 1995","orange_blank"
"Khamna (Khamninskii)","Not Available","Russia",59.71667,136.41667,"No","Inferred resources",5,9999,2,"Bastnasite, Parisite","Y, Eu, Gd, Dy, Er, Tm, Lu, Ce, La, Nd","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining","No","0.2-1.93% REE","Fluorite, Galena","Carbonate","Not Available","Carbonatite","Metasomatic carbonate, Nepheline syenite, Peralkaline syenite","Not Available","Occurrence; Fluorite-carbonate veins and stockworks 0.1 to 1.5 km long and 1.4 - 30 m thick.","Nokleberg and others, 1997; Kogarko and others, 1995","wht_blank"
"Khan Bogdo","Not Available","Mongolia",43.2,107.2,"Yes","Inferred resources",5,9999,1,"Polylithionite, Synchysite, Monazite, Titanite","Ce, Nd, Y, La, Pr, Sm, Tb","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics","No","0.3-4.5% REE","Elpidite, Armstrongite, Nb, Li, Ba, Ta, Hf, Th","Arfvedsonite","Late Paleozoic","Alkalic Igneous","Peralkaline granite, Syenite, Pegmatites","Not Available","Occurrence; In southern Mongolia. Lat-long for town of Khan Bogdo.","Moller, 1989a; Kovalenko and others, 1976; Kovalenko and Yarmolyuk, 1995; Location from NIMA, 2001","wht_blank"
"Khanneshin","Helmand","Afghanistan",30.4667,63.5833,"No","Inferred resources",5,9999,1,"Burbankite, Fluorite, Apatite, Bastnasite","Ce, Y, Eu, Gd, Dy, Er, Tm, Lu","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets, Lasers, Nuclear industry","No","Not Available","Apatite, Barite, Fluorite, Pyrochlore, Magnetite, Galena, Strontianite, Zr, U","Ankerite, Calcite, Pyroxene, Phlogopite, Aegirine, Biotite","Early Quaternary- <5 Ma (?, mica, sovite)","Carbonatite","Carbonatite, Tuff, Agglomerate, Phonolite","Not Available","Occurrence","ESCAP, 1995; Abdullah and others, 1977; Alkhazov and others, 1978","wht_blank"
"Khibina (Khibiny)","Kola Peninsula","Russia",67.71667,33.7833,"No","Inferred resources",5,9999,2,"Apatite, Eudialyte, Burbankite, Ancylite, Synchysite, Parisite, Carbocernaite, Cordylite, Apatite, Astrophyllite, Loparite, Mosandrite, Lovchorrite, Rinkite","Ce, La, Nd, Sm, Gd, Y, Pr, Yb, Dy","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","9 Mt REO","Apatite, Pyrochlore, Titanite, Lamprophyllite, Astrophyllite, Zircon, Ti-Magnetite, Vlasovite, Wohlerite, Gittinsite, Fluorite, Cryolite, Siderite, Edingtonite, Ilmenite","Calcite, Ankerite, Arfvedsonite, Aegirine-Augite, Biotite, Nepheline, Microcline, Alkali feldspar, Agrellite, Dawsonite, Nahcolite, Aenigmatite","364.5 Ma","Alkalic Igneous","Alkaline metasomites-- Foyaite, Nepheline Syenite, Ijolite, Rischorrite, Urtite, Pegmatites, Carbonatite?","Not Available","P, NEPH producer; REE status uncertain; Largest igneous apatite deposit in the world, in urtite-ijolite. REE minerals largely in alkaline rocks not carbonatite (Kogarko and others, 1995). Small bodies of carbonatites contain as much as 9% REE, 6.5% Sr, 3% Ba.","Castor, 1994; Kogarko and others, 1995; Zaitsev, 1996; Chakhmouradian, 1996; Beliolipetskii and Voloshin, 1996; Wall and Mariano, 1996; Pell, 1996; Neary and Highley, 1984; Hedrick and Templeton, 1991","wht_blank"
"King Sound","Western Australia","Australia",-16.8333,123.075,"No","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Magnetite, Leucoxene, Rutile, Zircon","Not Available","Not Available","Placer, Shoreline","Not Available","Perseverence Corp. Ltd. (1988)","Prospect (1988); In Fitzroy and May River estuaries.","Roskill, 1988; Location from NIMA, 2001","orange_blank"
"Kingscliff (Cudgen)","Queensland","Australia",-28.2667,153.5667,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti, Zr","Not Available","Pliocene-Pleistocene","Placer, Shoreline","Not Available","Currumbin Minerals (1988)","Past small producer (1988); No production as of 2009","Hedrick and Templeton, 1991; Roskill, 1988; Location from NIMA, 2000","ltblu_circle"
"Kinta Kellas Batu Gajah Mine","Perak","Malaysia",4.4667,101.0333,"Yes","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Not Available","Not Available","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Producer; Lat/Long for Batu Gajah, Malaysia","J. Hedrick, 2002, written commun.","grn_circle"
"Kinta Valley (Lahat)","Perak","Malaysia",4.5,101.1667,"No","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Zircon, Rutile","Not Available","Quaternary","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime","Towner and others, 1988; Towner, 1992; ESCAP and ABMRGG, 1988; Hedrick and Templeton, 1991","grn_circle"
"Kipawa Lake","Ontario","Canada",46.8,-78.5,"No","Indicated resources",4,7,1,"Eudialyte, Mosandrite, Britholite, Miserite, Apatite","Ce, La, Y, Nd, Pr, Gd, Sm","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Fluorite, Zircon, Chondrodite, Vlasovite, Wohlerite, Gittinsite, Hiortdahlite, U","Nepheline, Feldspar, Agrellite, Aegirine, Biotite, Gittinsite, Phlogopite, Albite, Riebeckite, Arfvedsonite, Calcite, Potassium-feldspar","1240 Ma (complex) 995 Ma (min/alt)","Alkalic Igneous","Peralkaline quartz syenite, Amphibole schist","Not Available","Potential resource; Mineralization probably resulted from high-grade metamorphism without obvious igneous relics. Geochemistry of some eudialyte-rich rocks strongly suggests metasomatic origin.","Castor, 1994; Woolley, 1987; Currie and Van Breemen, 1996","orange_blank"
"Kirra","Queensland","Australia",-29,153.5333,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti, Zr","Not Available","Pliocene-Pleistocene","Placer, Shoreline","Not Available","Currumbin Minerals (1988)","Past small producer (1988); No production as of 2009","Hedrick and Templeton, 1991; Roskill, 1988; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","ltblu_circle"
"Kirumba","Not Available","Congo (Zaire)",-1.0833,29.3,"No","Inferred resources",5,9999,2,"Chevkinite, Cerite, Lavenite","Ce, La, Y, Yb, Gd, Eu, Er","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Lasers, Silicon photovoltaic cells, Magnets","No","Not Available","Melanite, Titanite, Apatite, Zircon, Fluorite, Pyrochlore, Thorite, Lavenite","Albite, Zeolite, Aegirine, Biotite","803 plus or minus 22 Ma (Rb-Sr, whole rock)","Carbonatite","Syenite, Minor carbonatite","Not Available","Occurrence","Woolley, 2001","wht_blank"
"Kizilcaoren","Eskisehir","Turkey",39.6333,31.3833,"Yes","Indicated resources",4,7,1,"Bastnasite","Y, Eu, Gd, Dy, Er, Tm, Lu","Heavy","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry","No","4.7 Mt @ 2.78% REE (1990)","Fluorite, Barite, Th","Not Available","Tertiary","Carbonatite","Phonolite, Trachyte, and Alkaline pyroclastic rocks","Maden Tetik ve Arama Enstititusu","Potential resource; Bastnasite-fluorite-barite rock lenses associated with carbonatite dikes. Lat-long is for population center of same name.","Castor, 1994; Morteani and Satir, 1989; Location from NIMA, 2001","orange_blank"
"Kluan Tong Mine","Phuket","Thailand",7.91667,98.333,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Cassiterite, Th, U","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime; Monazite has high Th values and as much as 4.08% U3O8. Lat/Long for the middle of Phuket, Thailand","ESCAP and ABMRGG, 1988","grn_circle"
"Kodal","Not Available","Norway",59.25,10.16667,"No","Indicated resources",4,15,2,"Apatite","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","Not Available","Ti-Magnetite, Ilmenite, Pyrite, Titanite","Calcite, Talc","Permian","Alkalic Igneous","Jacupirangite Dike","Norsk Hydro (1978)","Potential resource","Notholt, 1979; British Sulphur Corporation, 1987; Moller, 1989a; Bugge, 1978; Location from USGS, 2000, MASMILS database","red_blank"
"Kokkilai","Not Available","Sri Lanka",8.9833,80.95,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Rutile, Zircon","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Deposit confined to the beach.","ESCAP and ABMRGG, 1988; ESCAP, 1989","wht_blank"
"Konder","Not Available","Russia",57.5,134.41667,"No","Inferred resources",5,9999,2,"Eudialyte","Ce, La, Y, Nd, Pr, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Lamprophyllite, Lorenzenite, Murmanite, Titanite, Ilmenite, Apatite, Vlasovite, Wohlerite","Arfvedsonite, Aegirine, Biotite, Zeolite, Orthoclase, Hornblende","Not Available","Alkalic Igneous","Alkaline pegmatite in dunite, Olivinite, Clinopyroxenite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"Koombana Bay","Western Australia","Australia",-33.31667,115.65,"No","Probable reserves",2,3,1,"Xenotime","Y, Tb, Yb","Heavy","Phosphors, Ceramics, Magnets, Lasers, Silicon photovoltaic cells","Yes","Not Available","Ilmenite, Zircon, Rutile, Leucoxene","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Past producer byproduct monazite; Discovered 1949. Closed 1966. Part of Minniup shoreline beach and dune deposits. Near Bunbury.","ESCAP and ABMRGG, 1988; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","ltblu_circle"
"Koraput","Orissa/ Koraput","India",18.81667,82.71667,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Zircon","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence; Lat/Long for Koraput, Orissa, India","ESCAP and ABMRGG, 1988","wht_blank"
"Korgeredaba","Tuva","Russia",50.08333,97.25,"No","Inferred resources",5,9999,2,"Eudialyte, Astrophyllite Rinkite","Ce, La, Y, Nd, Pr, Gd, Yb, Sm, Dy","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets, Lasers, Silicon photovoltaic cells","No","Not Available","Catapleiite","Aegirine, Arfvedsonite, Albite, Quartz, Anorthoclase","304 plus or minus 12 Ma (K-Ar, Biotite)","Alkalic Igneous","Foyaite, Pulaskite, Essexite, Granite, Peralkaline syenite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"Korsnas Mine","Not Available","Finland",62.78333,21.18333,"Yes","Probable reserves",2,7,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Total production-- 0.86 Mt @ 0.91% REO","Galena, Apatite","Calcite, Feldspar, Diopside","Precambrian","Other - Pb Deposits","Gneiss, Skarn","Outokumpu Oy (1988)","Past byproduct producer (1988); Vein cuts mica gneiss. Lat/Long for Korsnas, Finland","Roskill, 1988; Neary and Highley, 1984; Giere, 1996; Isokangas, 1978","orange_circle"
"Korsun-Novomirgorodskii pluton margin","Not Available","Ukraine",48.2333,31.2833,"No","Inferred resources",5,9999,1,"Allanite, Chevkinite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","As much as 0.2% LREE, 0.1-0.2% Zr, as much as 0.02% Nb","Zircon, Ilmenite, Apatite, Nb","Fayalite, Hedenbergite","Not Available","Alkalic Igneous","Monzosyenite, Syenite, Rapakivi granite, Gabbro, Granite","Not Available","Occurrence; REE and Zr concentrated in syenite. Syenite enclosed by rapakivi granite.","Kogarko and others, 1995","wht_blank"
"Kovdor Complex (Kovdorskoe)","Not Available","Russia",67.5667,30.4,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Magnetite, Apatite, Baddeleyite, Forsterite, Calcite, Phlogopite, Francolite","Not Available","Middle Devonian","Alkalic Igneous","Apatite-forsterite rocks; Ultrabasic rocks (Pyroxenite, Pyroxene-olivine rock, and Olivinite); Ijolite; Melteigite; Nepheline-pyroxenite","Not Available","Occurrence","Harben and Kuzvart, 1996; Notholt, 1979; British Sulphur Corporation, 1987; Lyachov, 2000; Troitsky and others, 1998; Location from MASMILS, 2000","wht_blank"
"Kpong area","Not Available","Ghana",6.1,0.05,"No","Inferred resources",5,9999,1,"Monazite, Allanite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Titanite, Apatite, Zircon, Fluorite","Calcite, Biotite, Nepheline, Cancrinite, Garnet","Not Available","Alkalic Igneous","Alkaline gneiss","Not Available","Occurrence; This deposit variously described as a carbonatite, a metasomatic introduction of calcite into a mylonite, and as altered alkaline volcanic rocks.","de Kun, 1987; Woolley, 2001","wht_blank"
"Kribi (Mont des Elehants, Mont de Rocher du Loup)","Not Available","Cameroon",2.95,9.91667,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Alkalic Igneous","Syenite","Not Available","Occurrence","Roskill, 1994; de Kun, 1987; Location from Rand McNally & Company, 1981","wht_blank"
"Kuala Lumpur area","Selangor","Malaysia",3,101.75,"No","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Au, Zircon, Rutile","Not Available","Quaternary","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime","Towner and others, 1988; Towner, 1992; ESCAP and ABMRGG, 1988; Hedrick and Templeton, 1991","grn_circle"
"Kudiraimozhi (Kudraimouzi)","Tamil Nadu","India",11.1333,78.65,"Yes","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Indicated + Inferred-- 370 Mt @8.9% Heavy Minerals; 14. Mt Heavy Minerals","Ilmenite, Rutile, Zircon, Garnet, Sillimanite, Baddelelyite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Potential resource; Lat/Long for Tamil Nadu, India","Minerals Deposits Ltd. Website, 2001; Taylor, 1995; Harben and Kuzvart, 1996","red_blank"
"Kudremala Point (Kudremalai)","Not Available","Sri Lanka",8.9667,79.9,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; South of Mannar.","ESCAP, 1989","wht_blank"
"Kugda","Not Available","Russia",70.71667,103.4667,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Phlogopite, Apatite, Titanite, Ti-Magnetite, Perovskite","Dolomite, Olivine, Garnet, Monticellite, Wollastonite, Calcite, Dolomite, Pyroxene, Biotite, Zeolite, Cancrinite","238 Ma (K-Ar, Phlogopite)","Carbonatite","Phoscorite, Nephelinite, Melteigite, Olivinite, Jacupiranite, Syenite, Glimmerite","Not Available","Occurrence; In Maimecha-Kotui extrusive province.","Kogarko and others, 1995","wht_blank"
"Kulwin (Koolwin)","Victoria","Australia",-35.08333,142.75,"No","Indicated resources",4,7,1,"Not Available","Not Available","Not Available","Not Available","No","24 Mt @11.5% Heavy Minerals","Not Available","Not Available","Tertiary","Placer, Shoreline","Not Available","Renison Goldfields","Heavy Minerals Prospect; In Murray Basin.","Hedrick, 1999; Mineral Deposits Ltd., 2000, accessed at URL http://www.mineraldeposits.com.au/ in Feb., 2000","orange_blank"
"Kunyang","Yunnan","China",24.6667,102.58333,"No","Inferred resources",5,9999,1,"Collophane, Monazite","Ce, La, Pr, Nd, Sm, Tb","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","> 0.05% REO, 8-25% P2O5","Variscite","Chalcedony, Calcite, Clay","Cambrian","Phosphorite","Phosphate rock","Not Available","Occurrence","Wu and others, 1996","wht_blank"
"Kusipo","Not Available","South Korea",35.333,126.5,"Yes","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Measured-- 0.0025 Mt Monazite @ grade of 0.12% Monazite","Ilmenite, Zircon, Magnetite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; 50 km North of Mokpo. Deposit is along coast and believed to be a marine placer or a mix of marine and alluvial sands.","ESCAP and ABMRGG, 1988, 1976","red_blank"
"Kutessai-II","Not Available","Kyrgyzstan",42.6667,76.16667,"No","Proved reserves",1,0,1,"Monazite, Xenotime, Y-Synchysite, Y-Parisite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","0.088 Mt REE @ 0.39% REE","Ta, Nb, Zircon, Galena, Thorite, Molybdenite, Cryolite, Arsenopyrite, Azurite, Siderite, Marcasite, Sphalerite, Pyrrhotite, Sn, Cinnabar, Scheelite","Not Available","Permian","Alkalic Igneous","Granophyre, Dikes","Not Available","Active mine (1998)","ESCAP, 1998","grn_circle"
"Kutessiask","Not Available","Kyrgyzstan",41.2,74.75,"Yes","Proved reserves",1,0,1,"Y-Synchysite","Y, Ce, Nd","Heavy/Light","Phosphors, Ceramics, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Petroleum refining, Magnets","No","Not Available","Not Available","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Producer; Lat/Long for the middle of Kyrgyzstan","Will and others, 1995","grn_circle"
"Kutubdai Island","Kutubdai Island","Bangladesh",21.8333,91.8667,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.405 Mt @0.0015% Monazite (1983)","Ilmenite, Zircon, Leucoxene, Rutile","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Lat/Long for Kutubdai Island","ESCAP and ABMRGG, 1988","orange_blank"
"Kutubjum","Moheshkhali Island","Bangladesh",21.51667,91.9333,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.578 Mt @0.035% Monazite (1983)","Ilmenite, Zircon, Rutile, Leucoxene, Magnetite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Lat/Long for Kutubjorn","ESCAP and ABMRGG, 1988","orange_blank"
"Kuwn-Thong","Phuket","Thailand",7.9333,98.3333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.03% Monazite (1971)","Cassiterite, Ilmenite, Zircon","Quartz","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Lat/Long for the middle of Phuket, Thailand","ESCAP and ABMRGG, 1988","wht_blank"
"Kwangsangun","Not Available","South Korea",35.16667,126.8333,"No","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.048 Mt Monazite at grade of 0.05% Monazite (1968)","Zircon","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; 10 km N of Kwangju. Deposit is inland and believed to be composed of river sands. Deposit type classification uncertain.","ESCAP and ABMRGG, 1988","red_blank"
